rank	index(in origin)	label_driven_mi	data_driven_mi	data_driven_pcc	data_driven_plv
1		23	60	60	59
2		32	59	59	60
3		31	54	57	54
4		41	56	61	58
5		61	51	58	51
6		1	50	50	52
7		4	48	56	56
8		0	53	49	50
9		18	9	51	57
10		47	52	41	53
11		26	11	40	61
12		43	10	54	55
13		37	42	33	48
14		19	7	52	8
15		49	57	55	9
16		48	8	42	49
17		34	58	39	42
18		10	47	32	39
19		3	43	48	10
20		42	4	30	11
21		17	49	22	43
22		25	3	13	47
23		38	33	24	17
24		2	41	14	41
25		51	39	1	46
26		39	61	21	19
27		29	12	3	33
28		28	19	31	20
29		56	20	53	38
30		46	46	12	3
31		50	38	15	16
32		57	6	23	45
33		33	30	43	40
34		45	21	0	34
35		40	17	34	30
36		6	34	11	18
37		9	15	2	25
38		16	40	38	29
39		44	18	20	21
40		8	16	8	7
41		53	1	47	12
42		24	55	16	24
43		22	24	29	1
44		35	0	25	15
45		7	29	9	32
46		55	25	10	44
47		58	37	7	35
48		30	45	4	37
49		59	2	17	28
50		11	35	6	0
51		21	22	19	26
52		15	13	35	13
53		13	28	28	4
54		52	31	46	2
55		54	32	26	22
56		27	14	37	14
57		60	23	45	31
58		5	44	44	23
59		20	36	18	6
60		14	26	36	27
61		12	27	27	36
62		36	5	5	5
